city_id,accuracy,precision,recall,f1,auc,n_samples
1,0.9996657977407928,0.9998158040154724,0.9997237314669859,0.9997697656214026,0.9997581022718002,14961
3,0.9992721979621543,0.9995544995544996,0.999480288068899,0.9995173924341983,0.9995420768504054,17862
4,0.9995056760530401,0.9996348258354831,0.9996937068538981,0.999664265477656,0.999766055723829,115309
5,0.9995198002368986,0.9996365335687211,0.9995846313603323,0.9996105817908045,0.9998717189081079,31237
6,0.9995742306788818,0.9997084973036,0.9997631411132367,0.9997358184617346,0.999740541504478,68112
7,0.9993967145668707,0.9996111712869834,0.9996627332100656,0.9996369515836251,0.9998608030660815,303339
1,0.9996565934065934,0.9997790543526293,0.9995582063176497,0.999668618137634,0.9999983468162278,8736
3,0.9994779703487158,0.9995980707395499,0.9993972272453285,0.9994976389028434,0.9997853197955542,9578
4,0.9993995753093652,0.9995593763769488,0.9996718391074024,0.9996156045789932,0.9997754215444533,136570
5,0.9997146851550687,0.9997826086956522,0.9997826086956522,0.9997826086956522,0.99992087562742,35049
6,0.9994879235299138,0.9996269874574533,0.9995337777984987,0.999580380455054,0.9999023628224195,35151
7,0.9995116813095012,0.9996443115624517,0.9997319214529857,0.9996881145882468,0.9997985474640412,247789
1,0.9995345228859581,0.9995555555555555,0.9991115059973346,0.999333481448567,0.9999506921842822,6445
3,0.9993581209585394,0.9996848491215169,0.9996060924369747,0.9996454692280421,0.999832134472765,42064
4,0.9995810000509594,0.99972272567425,0.999776815906939,0.9997497700589731,0.999780588204407,176611
5,0.9994287202493468,0.9997078559364586,0.9996713499301618,0.9996896026000347,0.9994975600671498,119031
6,0.9994792589966318,0.9996663929377951,0.9997305308542171,0.9996984608672779,0.9994793542724889,90256
7,0.9993999636549414,0.9995693907924882,0.9996989526059415,0.9996341675011132,0.9997317001761615,291649
